,lottery,date_occured,ball_01,ball_02,ball_03,ball_04,ball_05,ball_06,
0,2221.0,2020-01-04,23,34,45,57,5,
1,2220.0,2019-12-31,38,58,35,3,40,57,
2,2219.0,2019-12-21,57,59,45,8,28,36,
3,2218.0,2019-12-19,16,6,38,22,52,
4,2217.0,2019-12-17,16,32,36,30,14,10,
5,2216.0,2019-12-14,24,42,48,10,43,49,
6,2215.0,2019-12-11,21,23,43,1,19,
7,2214.0,2019-12-07,18,30,4,10,34,
8,2213.0,2019-12-04,7,5,10,60,32,46,
9,2212.0,2019-11-30,51,58,53,52,26,23,
10,2211.0,2019-11-27,27,44,36,54,41,40,
11,2210.0,2019-11-23,11,33,34,25,24,17,
12,2209.0,2019-11-20,32,22,47,28,33,25,
13,2208.0,2019-11-16,30,45,16,49,25,40,
14,2207.0,2019-11-13,43,11,6,55,53,10,
15,2206.0,2019-11-09,42,38,45,6,27,57,
16,2205.0,2019-11-06,21,42,12,57,37,28,
17,2204.0,2019-11-04,32,56,29,28,1,35,
18,2203.0,2019-10-30,34,46,57,50,17,49,
19,2202.0,2019-10-26,43,60,37,38,29,11,
20,2201.0,2019-10-24,13,49,3,41,53,23,
21,2200.0,2019-10-22,28,55,36,43,11,15,
22,2199.0,2019-10-19,38,23,30,44,35,15,
23,2198.0,2019-10-16,56,11,34,44,36,1,
24,2197.0,2019-10-14,29,11,3,35,44,57,
25,2196.0,2019-10-09,56,28,27,1,41,25,
26,2195.0,2019-10-05,24,32,38,53,46,14,
27,2194.0,2019-10-02,16,8,20,21,34,31,
28,2193.0,2019-09-28,8,7,42,27,29,22,
29,2192.0,2019-09-26,57,53,7,59,16,37,
30,2191.0,2019-09-24,33,46,26,4,53,8,
31,2190.0,2019-09-21,53,35,25,9,5,20,
32,2189.0,2019-09-18,33,29,11,4,16,22,
33,2188.0,2019-09-14,60,51,21,28,2,17,
34,2187.0,2019-09-11,16,21,50,10,46,11,
35,2186.0,2019-09-09,27,19,12,41,18,46,
36,2185.0,2019-09-04,19,42,18,47,22,9,
37,2184.0,2019-08-31,51,15,52,36,59,45,
38,2183.0,2019-08-28,51,13,43,30,34,26,
39,2182.0,2019-08-24,59,47,46,19,39,22,
40,2181.0,2019-08-21,8,1,19,48,36,33,
41,2180.0,2019-08-17,16,12,10,21,28,38,
42,2179.0,2019-08-14,24,2,35,54,50,13,
43,2178.0,2019-08-10,16,21,42,2,50,56,
44,2177.0,2019-08-08,14,9,48,11,31,51,
45,2176.0,2019-08-06,23,8,25,43,39,44,
46,2175.0,2019-08-03,55,53,7,32,43,25,
47,2174.0,2019-07-31,36,10,34,15,60,56,
48,2173.0,2019-07-27,9,48,44,42,2,50,
49,2172.0,2019-07-24,9,57,43,37,28,24,
50,2171.0,2019-07-20,19,12,13,36,55,44,
51,2170.0,2019-07-17,36,21,51,10,24,38,
52,2169.0,2019-07-13,45,7,34,59,51,54,
53,2168.0,2019-07-11,37,25,29,4,1,27,
54,2167.0,2019-07-09,37,45,38,43,54,27,
55,2166.0,2019-07-06,44,3,34,56,19,58,
56,2165.0,2019-07-03,56,49,54,43,5,37,
57,2164.0,2019-06-29,48,17,58,47,16,25,
58,2163.0,2019-06-26,45,20,24,36,18,8,
59,2162.0,2019-06-22,11,30,42,34,16,22,
60,2161.0,2019-06-19,24,10,8,44,9,42,
61,2160.0,2019-06-15,53,49,1,46,47,19,
62,2159.0,2019-06-12,53,35,38,14,45,26,
63,2158.0,2019-06-08,9,27,46,59,35,45,
64,2157.0,2019-06-05,34,48,31,39,33,35,
65,2156.0,2019-06-01,49,39,23,6,26,1,
66,2155.0,2019-05-29,37,44,2,27,6,47,
67,2154.0,2019-05-25,53,41,47,50,7,25,
68,2153.0,2019-05-22,13,28,31,8,33,32,
69,2152.0,2019-05-18,49,36,29,26,59,50,
70,2151.0,2019-05-15,36,38,2,29,14,18,
71,2150.0,2019-05-11,38,24,23,26,42,49,
72,2149.0,2019-05-08,21,48,46,23,44,37,
73,2148.0,2019-05-04,59,33,8,58,32,15,
74,2147.0,2019-05-02,49,42,17,19,37,41,
75,2146.0,2019-04-27,39,42,16,18,44,31,
76,2145.0,2019-04-24,6,59,28,8,51,53,
77,2144.0,2019-04-20,21,33,55,16,7,60,
78,2143.0,2019-04-17,12,58,35,51,2,57,
79,2142.0,2019-04-13,44,50,52,57,7,40,
80,2141.0,2019-04-10,10,19,11,37,41,17,
81,2140.0,2019-04-06,20,54,36,17,42,26,
82,2139.0,2019-04-03,58,29,23,41,14,57,
83,2138.0,2019-03-30,30,34,4,21,13,14,
84,2137.0,2019-03-27,2,1,49,11,12,34,
85,2136.0,2019-03-23,35,22,11,1,30,8,
86,2135.0,2019-03-20,23,48,59,28,40,9,
87,2134.0,2019-03-16,54,6,46,21,59,34,
88,2133.0,2019-03-13,26,20,19,51,52,57,
89,2132.0,2019-03-09,5,60,18,39,35,30,
90,2131.0,2019-03-06,28,18,20,6,2,3,
91,2130.0,2019-03-02,13,53,16,36,55,54,
92,2129.0,2019-02-28,60,46,12,6,32,31,
93,2128.0,2019-02-26,24,55,46,16,11,54,
94,2127.0,2019-02-23,7,46,28,30,44,1,
95,2126.0,2019-02-20,58,39,27,7,24,12,
96,2125.0,2019-02-16,44,1,31,53,46,58,
97,2124.0,2019-02-13,31,20,47,43,2,11,
98,2123.0,2019-02-09,47,59,14,56,50,15,
99,2122.0,2019-02-06,27,21,3,11,15,49,
100,2121.0,2019-02-02,37,8,17,29,10,40,
101,2120.0,2019-01-30,38,41,20,24,25,13,
102,2119.0,2019-01-26,42,49,26,31,19,21,
103,2118.0,2019-01-23,41,11,12,46,20,40,
104,2117.0,2019-01-19,28,43,4,29,52,30,
105,2116.0,2019-01-17,21,19,1,9,34,54,
106,2115.0,2019-01-15,19,40,35,44,27,4,
107,2114.0,2019-01-12,35,17,30,25,42,57,
108,2113.0,2019-01-09,11,21,46,14,25,50,
109,2112.0,2019-01-05,17,46,43,53,52,39,
110,2111.0,2019-01-02,54,41,1,46,58,44,
111,2110.0,2018-12-31,25,33,10,12,18,5,
112,2109.0,2018-12-20,4,16,44,49,12,34,
113,2108.0,2018-12-18,44,59,29,19,41,22,
114,2107.0,2018-12-15,50,44,60,38,56,8,
115,2106.0,2018-12-12,27,3,39,40,36,43,
116,2105.0,2018-12-08,16,46,13,11,24,31,
117,2104.0,2018-12-06,12,45,10,56,2,27,
118,2103.0,2018-12-04,13,40,50,46,3,44,
119,2102.0,2018-12-01,6,4,17,57,34,51,
120,2101.0,2018-11-28,58,56,18,8,2,37,
121,2100.0,2018-11-24,1,35,13,11,10,49,
122,2099.0,2018-11-21,30,15,5,58,20,27,
123,2098.0,2018-11-17,2,38,27,60,18,8,
124,2097.0,2018-11-14,51,28,24,49,9,45,
125,2096.0,2018-11-10,11,51,6,24,13,19,
126,2095.0,2018-11-07,49,29,56,43,35,16,
127,2094.0,2018-11-03,4,33,16,44,19,31,
128,2093.0,2018-10-31,54,34,52,8,14,27,
129,2092.0,2018-10-27,13,17,27,11,15,22,
130,2091.0,2018-10-25,12,11,10,59,38,37,
131,2090.0,2018-10-23,11,8,18,40,37,51,
132,2089.0,2018-10-20,38,48,5,49,10,32,
133,2088.0,2018-10-17,24,3,27,38,14,56,
134,2087.0,2018-10-13,19,18,53,34,2,23,
135,2086.0,2018-10-10,4,53,35,43,47,46,
